 Calculated Flow and Sedi at section of Ics=           4
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         89.37          800.97          3.18           0.727       0.134       0.047       2.559          0.0892       86.1863             0.000           100.000          0.26         0.31       0.050          0.282        -0.00412528            0.40283200
        1080           12.000         89.39          813.16          3.19           0.734       0.135       0.047       2.585          0.0897       86.1996             0.000           100.000          0.26         0.28       0.051          0.282        -0.00443341            0.19531249
        2160           24.000         89.42          828.88          3.20           0.741       0.136       0.047       2.608          0.0903       86.2193             0.000           100.000          0.26         0.25       0.054          0.282        -0.00487877            0.13427733
        3240           36.000         89.46          849.91          3.21           0.750       0.137       0.047       2.642          0.0911       86.2443             0.000           100.000          0.26         0.25       0.054          0.282        -0.00506062            0.06408691
        4320           48.000         89.50          873.22          3.23           0.760       0.139       0.047       2.673          0.0918       86.2730             0.000           100.000          0.27         0.27       0.053          0.282        -0.00514594           -0.00305176
        5400           60.000         89.51          874.00          3.23           0.759       0.139       0.047       2.657          0.0916       86.2783             0.000           100.000          0.27         0.29       0.051          0.282        -0.00499089           -0.13732909
        6480           72.000         89.50          866.09          3.23           0.755       0.138       0.047       2.644          0.0913       86.2692             0.000           100.000          0.27         0.31       0.050          0.282        -0.00470105           -0.20141600
        7560           84.000         89.49          862.47          3.22           0.754       0.138       0.047       2.641          0.0912       86.2643             0.000           100.000          0.27         0.33       0.050          0.282        -0.00451405            0.20141600
        8640           96.000         89.48          861.06          3.22           0.753       0.138       0.047       2.642          0.0912       86.2620             0.000           100.000          0.27         0.34       0.049          0.282        -0.00436863           -0.47302243
        9720          108.000         89.48          856.09          3.22           0.751       0.137       0.047       2.631          0.0910       86.2569             0.000           100.000          0.27         0.34       0.049          0.282        -0.00437477           -0.06713866
       10800          120.000         89.47          850.50          3.22           0.748       0.137       0.047       2.624          0.0908       86.2499             0.000           100.000          0.27         0.32       0.050          0.282        -0.00446471           -0.20446777
       11880          132.000         89.46          847.19          3.21           0.747       0.137       0.047       2.621          0.0907       86.2453             0.000           100.000          0.27         0.31       0.050          0.282        -0.00458737            0.00000000
       12960          144.000         89.45          844.28          3.21           0.746       0.137       0.047       2.618          0.0906       86.2416             0.000           100.000          0.26         0.29       0.051          0.282        -0.00468379           -0.20141600
       14040          156.000         89.43          834.31          3.20           0.741       0.136       0.047       2.599          0.0902       86.2305             0.000           100.000          0.26         0.28       0.052          0.282        -0.00465517            0.13427733
       15120          168.000         89.41          822.44          3.20           0.736       0.135       0.047       2.582          0.0898       86.2156             0.000           100.000          0.26         0.27       0.052          0.282        -0.00459905           -0.26550293
       16200          180.000         89.38          805.88          3.18           0.728       0.134       0.047       2.555          0.0892       86.1954             0.000           100.000          0.25         0.28       0.052          0.282        -0.00431316            0.06408691
       17280          192.000         89.34          787.41          3.17           0.720       0.133       0.048       2.529          0.0885       86.1723             0.000           100.000          0.25         0.31       0.050          0.282        -0.00395116           -0.59204102
       18360          204.000         89.36          803.19          3.18           0.730       0.134       0.047       2.575          0.0894       86.1857             0.000           100.000          0.26         0.33       0.050          0.282        -0.00390550            0.48217770
       19440          216.000         89.42          831.25          3.20           0.742       0.136       0.047       2.618          0.0905       86.2205             0.000           100.000          0.27         0.36       0.049          0.282        -0.00392729            0.66833496
       20520          228.000         89.46          850.91          3.21           0.750       0.137       0.047       2.640          0.0910       86.2465             0.000           100.000          0.27         0.38       0.049          0.282        -0.00392803            0.20141600
       21600          240.000         89.49          866.19          3.22           0.756       0.138       0.047       2.658          0.0915       86.2658             0.000           100.000          0.28         0.39       0.049          0.282        -0.00393140            0.47607419
