 Calculated Flow and Sedi at section of Ics=          22
         K              Time(h)         ZW             QD             Hav            Uav         FR          Rn         SP(%%)          Ust         ZBav(f)              DZmc            Qm/QD(%)          S*          S        SD50(mm)        BD50(mm)      dA0/dt(10^-3)         dAf/dt(10^-3)
           0            0.000         83.10          801.19          2.50           0.744       0.169       0.035       1.974          0.0694       80.6080             0.000           100.000          0.36         0.45       0.087          0.232         0.00047638            0.16784666
        1080           12.000         83.11          802.89          2.50           0.745       0.169       0.035       1.978          0.0695       80.6080             0.000           100.000          0.36         0.45       0.087          0.232         0.00047103            0.00000000
        2160           24.000         83.12          814.61          2.51           0.751       0.170       0.035       1.997          0.0700       80.6087             0.000           100.000          0.36         0.44       0.090          0.232         0.00044955            0.08850097
        3240           36.000         83.15          829.97          2.54           0.758       0.171       0.035       2.021          0.0707       80.6104             0.000           100.000          0.36         0.42       0.095          0.232         0.00038917            0.16479491
        4320           48.000         83.18          850.86          2.56           0.768       0.172       0.035       2.051          0.0716       80.6132             0.000           100.000          0.36         0.41       0.096          0.232         0.00021747            0.33264160
        5400           60.000         83.21          870.72          2.59           0.777       0.173       0.035       2.079          0.0725       80.6159             0.000           100.000          0.37         0.42       0.093          0.232         0.00003460            0.81481928
        6480           72.000         83.21          872.77          2.59           0.777       0.173       0.035       2.079          0.0726       80.6162             0.000           100.000          0.38         0.43       0.090          0.232         0.00003737           -0.40283200
        7560           84.000         83.20          866.92          2.59           0.774       0.173       0.035       2.070          0.0723       80.6156             0.000           100.000          0.38         0.44       0.086          0.232         0.00009210           -0.56152344
        8640           96.000         83.20          863.58          2.58           0.773       0.173       0.035       2.066          0.0721       80.6151             0.000           100.000          0.38         0.46       0.084          0.232         0.00016623           -0.21362303
        9720          108.000         83.19          861.39          2.58           0.772       0.172       0.035       2.062          0.0720       80.6149             0.000           100.000          0.38         0.46       0.082          0.232         0.00021275            1.00707996
       10800          120.000         83.19          856.62          2.57           0.770       0.172       0.035       2.054          0.0718       80.6142             0.000           100.000          0.38         0.46       0.082          0.232         0.00024796            0.57678223
       11880          132.000         83.18          851.48          2.57           0.767       0.172       0.035       2.047          0.0716       80.6135             0.000           100.000          0.38         0.46       0.083          0.232         0.00027140            0.08239745
       12960          144.000         83.17          847.94          2.56           0.766       0.172       0.035       2.042          0.0715       80.6130             0.000           100.000          0.37         0.45       0.086          0.232         0.00030043            0.16479491
       14040          156.000         83.17          843.78          2.56           0.763       0.171       0.035       2.035          0.0713       80.6125             0.000           100.000          0.37         0.44       0.088          0.232         0.00031231            0.00305176
